Name,Team,G,Rec ,Tgt ,RecYds,RecY/G,RecAvg,RecLng,YAC ,1stD ,RecTD,KR ,KRYds,KRAvg,KRLong,KRTD,PR ,PRYds,PRAvg,PRLong,PRTD,Fum ,FumL 
 Jeff Janis,GNB,3,2,2,16,5.3,8,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 Damian Williams,MIA,1,1,1,14,14,14,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Tavarres King,TAM,2,2,3,13,6.5,6.5,7,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Courtney Roby,ATL,4,1,2,11,2.8,11,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Brad Smith,PHI,13,1,3,11,0.8,11,11,14,1,0,1,21,21,21,0,0,0, ,0,0,0,0
 Micheal Spurlock,CHI,1,1,3,8,8,8,8,7,0,0,0,0, ,0,0,0,0, ,0,0,0,0
 Josh Cribbs,IND,6,1,1,8,1.3,8,8,1,0,0,19,608,32,76,0,19,125,6.6,18,0,0,0
 Jalen Saunders,NOR,6,1,1,7,1.2,7,7,3,0,0,2,120,60,99,0,15,125,8.3,32,0,0,0
 Aldrick Robinson,WAS,5,1,3,6,1.2,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kevin Dorsey,GNB,3,1,2,4,1.3,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Isaiah Burse,DEN,12,0,1,0,0, ,0, ,0,0,1,7,7,7,0,29,211,7.3,22,0,0,0
 Solomon Patton,TAM,7,0,0,0,0, ,0, ,0,0,18,416,23.1,28,0,10,112,11.2,33,0,0,0
 Freddie Martino,ATL,1,0,1,0,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Marcus Thigpen,BUF,5,0,1,0,0, ,0, ,0,0,12,285,23.8,49,0,16,220,13.8,75,1,0,0
 Kassim Osgood,SFO,13,0,1,0,0, ,0, ,0,0,0,0, ,0,0,1,2,2,2,0,0,0
 Rodney Smith,CLE,3,0,1,0,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Leonard Hankerson,WAS,1,0,1,0,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Chris Williams,CHI,7,0,0,0,0, ,0, ,0,0,24,579,24.1,101,1,4,30,7.5,13,0,0,0
 Tommy Streeter,JAC,2,0,1,0,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Josh Bellamy,CHI,4,0,1,0,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 De'Andre Presley,CAR,4,0,1,0,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Saalim Hakim,NYJ,16,0,0,0,0,0,0,0,0,0,13,279,21.5,44,0,0,0, ,0,0,0,0
 Rashad Ross,CHI,2,0,0,0,0,0,0,0,0,0,5,106,21.2,24,0,0,0, ,0,0,0,0
 Walt Powell,NYJ,4,0,0,0,0,0,0,0,0,0,8,233,29.1,62,0,12,48,4,15,0,0,0
 Marlon Moore,CLE,13,0,0,0,0,0,0,0,0,0,13,322,24.8,32,0,0,0, ,0,0,0,0
 Matthew Slater,NWE,16,0,0,0,0,0,0,0,0,0,2,44,22,26,0,0,0, ,0,0,0,0
 Marcus Easley,BUF,10,0,0,0,0,0,0,0,0,0,1,13,13,13,0,0,0, ,0,0,0,0
 Trindon Holliday,SFO,1,0,0,0,0,0,0,0,0,0,5,128,25.6,32,0,2,17,8.5,17,0,0,0
 Marc Mariani,CHI,6,0,0,0,0,0,0,0,0,0,20,510,25.5,67,0,7,29,4.1,16,0,0,0
